2016-02-15 04:29:06.273000 {"type":"join","timestamp":"1455510546.273000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2016-02-15 04:45:55.447000 {"type":"join","timestamp":"1455511555.447000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 05:40:11.222000 {"type":"join","timestamp":"1455514811.222000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 06:23:00.173000 {"type":"join","timestamp":"1455517380.173000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jaywink","nickname":"jaywink","name":"jaywink","username":null},"content":"jaywink joined #social"}
2016-02-15 06:34:18.266000 {"type":"join","timestamp":"1455518058.266000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2016-02-15 06:43:56.274000 {"type":"join","timestamp":"1455518636.274000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 07:25:03.092000 {"type":"join","timestamp":"1455521103.092000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 07:55:35.333000 {"type":"join","timestamp":"1455522935.333000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 07:56:06.251000 {"type":"join","timestamp":"1455522966.251000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 08:19:58.221000 {"type":"join","timestamp":"1455524398.221000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"prtksxna","nickname":"prtksxna","name":"prtksxna","username":null},"content":"prtksxna joined #social"}
2016-02-15 08:36:40.476000 {"type":"join","timestamp":"1455525400.476000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2016-02-15 08:56:53.108000 {"type":"join","timestamp":"1455526613.108000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 09:09:07.494000 {"type":"join","timestamp":"1455527347.494000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"prtksxna","nickname":"prtksxna","name":"prtksxna","username":null},"content":"prtksxna joined #social"}
2016-02-15 09:10:19.298000 {"type":"join","timestamp":"1455527419.298000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 09:10:50.652000 {"type":"join","timestamp":"1455527450.652000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 10:32:36.204000 {"type":"join","timestamp":"1455532356.204000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 10:32:37.214000 {"type":"join","timestamp":"1455532357.214000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 10:33:10.415000 {"type":"join","timestamp":"1455532390.415000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 10:39:34.206000 {"type":"join","timestamp":"1455532774.206000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 10:40:06.079000 {"type":"join","timestamp":"1455532806.079000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 11:25:12.216000 {"type":"join","timestamp":"1455535512.216000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"prtksxna","nickname":"prtksxna","name":"prtksxna","username":null},"content":"prtksxna joined #social"}
2016-02-15 12:38:07.491000 {"type":"join","timestamp":"1455539887.491000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2016-02-15 13:47:42.212000 {"type":"join","timestamp":"1455544062.212000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2016-02-15 14:13:51.270000 {"type":"join","timestamp":"1455545631.270000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"prtksxna","nickname":"prtksxna","name":"prtksxna","username":null},"content":"prtksxna joined #social"}
2016-02-15 14:38:39.197000 {"type":"join","timestamp":"1455547119.197000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2016-02-15 15:16:46.964000 {"type":"join","timestamp":"1455549406.964000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 18:00:04.477000 {"type":"join","timestamp":"1455559204.477000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 18:16:13.187000 {"type":"join","timestamp":"1455560173.187000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jaywink","nickname":"jaywink","name":"jaywink","username":null},"content":"jaywink joined #social"}
2016-02-15 18:27:01.165000 {"type":"message","timestamp":"1455560821.165000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"... and maybe we can have them"}
2016-02-15 18:27:01.169000 {"type":"message","timestamp":"1455560821.169000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"Countdown set by ben_thatmustbeme on 2\/9\/16 at 10:27am"}
2016-02-15 18:45:12.327000 {"type":"message","timestamp":"1455561912.327000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"ben_thatmustbeme","nickname":"ben_thatmustbeme","name":"ben_thatmustbeme","username":null},"content":"hah.  shutup loqi"}
2016-02-15 18:56:00.372000 {"type":"join","timestamp":"1455562560.372000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2016-02-15 20:07:47.287000 {"type":"join","timestamp":"1455566867.287000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 20:41:46.068000 {"type":"join","timestamp":"1455568906.068000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2016-02-15 20:57:58.211000 {"type":"join","timestamp":"1455569878.211000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2016-02-15 21:20:01.885000 {"type":"message","timestamp":"1455571201.885000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"Alehors made 1 edit to [[Socialwg]] https:\/\/www.w3.org\/wiki\/index.php?diff=97518&oldid=97483"}
2016-02-15 21:30:02.561000 {"type":"message","timestamp":"1455571802.561000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"Alehors made 1 edit to [[Socialwg\/2016-02-16]] https:\/\/www.w3.org\/wiki\/index.php?diff=97519&oldid=0"}
2016-02-15 22:21:13.172000 {"type":"join","timestamp":"1455574873.172000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
