2011-09-13 11:30:49.000000 {"type":"join","timestamp":"1315913449.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tlr","nickname":"tlr","name":"tlr","username":null},"content":"tlr joined #microformats"}
2011-09-13 12:10:24.000000 {"type":"message","timestamp":"1315915824.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/piotr_murach] Is semantic data such as microformats or RDFa a self adoration society with little attention from web services?"}
2011-09-13 12:24:24.000000 {"type":"message","timestamp":"1315916664.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/RadHertz] RSS for Twitter hash tags. This workshorse syndication microformat can capture tagged tweets.Profhacker tells you how http:\/\/t.co\/bzcYUjQ"}
2011-09-13 12:26:24.000000 {"type":"join","timestamp":"1315916784.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"philback","nickname":"philback","name":"philback","username":null},"content":"philback joined #microformats"}
2011-09-13 12:40:25.000000 {"type":"message","timestamp":"1315917625.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/designdcl] Boycott ! - dittatura delle Multinazionali - rubhub.com"}
2011-09-13 12:44:24.000000 {"type":"message","timestamp":"1315917864.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/designdcl] Boycott! - Dictatorship of Multinationals Corporate - rubhub.com"}
2011-09-13 13:17:20.000000 {"type":"join","timestamp":"1315919840.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3_","nickname":"andr3_","name":"andr3_","username":null},"content":"andr3_ joined #microformats"}
2011-09-13 13:20:35.000000 {"type":"join","timestamp":"1315920035.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3_","nickname":"andr3_","name":"andr3_","username":null},"content":"andr3_ joined #microformats"}
2011-09-13 13:43:13.000000 {"type":"join","timestamp":"1315921393.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Askarii","nickname":"Askarii","name":"Askarii","username":null},"content":"Askarii joined #microformats"}
2011-09-13 13:44:30.000000 {"type":"join","timestamp":"1315921470.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Askarii","nickname":"Askarii","name":"Askarii","username":null},"content":"Askarii joined #microformats"}
