2014-11-09 17:34:15.933000 {"type":"message","timestamp":"1415554455.933000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@namlm8x] H\u00c6\u00b0\u00e1\u00bb\u203ang d\u00e1\u00ba\u00abn s\u00e1\u00bb\u00ada L\u00e1\u00bb\u2014i : Missing required field \"updated\" v\u00e1 l\u00e1\u00bb\u2014i Missing required hCard \"author\u2026 http:\/\/vnn-android.blogspot.com\/2014\/11\/huong-dan-sua-loi-missing-required.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TaiGameAndroidMienPhi-UngDungAndroidHot-ThuThuatTinTucHay+%28T%E1%BA%A3i+Game+Android+Mi%E1%BB%85n+Ph%C3%AD+-+%E1%BB%A8ng+D%E1%BB%A5ng+Android+Hot+-+Th%E1%BB%A7+Thu%E1%BA%ADt+Ti%E1%BB%87n+%C3%ADch+Hay%29 (http:\/\/twtr.io\/sjQq5aPUdQ)"}
2014-11-09 18:25:41.135000 {"type":"join","timestamp":"1415557541.135000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"frontwards","nickname":"frontwards","name":"frontwards","username":null},"content":"frontwards joined #microformats"}
2014-11-09 18:58:07.683000 {"type":"join","timestamp":"1415559487.683000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman","nickname":"Soopaman","name":"Soopaman","username":null},"content":"Soopaman joined #microformats"}
2014-11-09 19:05:46.658000 {"type":"join","timestamp":"1415559946.658000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Erkan_Yilmaz","nickname":"Erkan_Yilmaz","name":"Erkan_Yilmaz","username":null},"content":"Erkan_Yilmaz joined #microformats"}
2014-11-09 20:06:11.175000 {"type":"join","timestamp":"1415563571.175000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2014-11-09 20:30:55.650000 {"type":"join","timestamp":"1415565055.650000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"krendil","nickname":"krendil","name":"krendil","username":null},"content":"krendil joined #microformats"}
2014-11-09 20:56:27.342000 {"type":"join","timestamp":"1415566587.342000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2014-11-09 21:37:19.727000 {"type":"join","timestamp":"1415569039.727000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-11-09 22:43:00.667000 {"type":"join","timestamp":"1415572980.667000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-11-09 23:51:15.126000 {"type":"join","timestamp":"1415577075.126000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
