2012-02-11 10:05:56.000000 {"type":"join","timestamp":"1328954756.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 10:06:10.000000 {"type":"join","timestamp":"1328954770.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 10:10:55.000000 {"type":"join","timestamp":"1328955055.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 10:11:10.000000 {"type":"join","timestamp":"1328955070.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 10:15:56.000000 {"type":"join","timestamp":"1328955356.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 10:16:25.000000 {"type":"join","timestamp":"1328955385.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 10:20:55.000000 {"type":"join","timestamp":"1328955655.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 10:21:41.000000 {"type":"join","timestamp":"1328955701.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 10:25:55.000000 {"type":"join","timestamp":"1328955955.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 10:26:10.000000 {"type":"join","timestamp":"1328955970.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 16:14:00.000000 {"type":"join","timestamp":"1328976840.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"davida","nickname":"davida","name":"davida","username":null},"content":"davida joined #indiewebcamp"}
2012-02-11 17:26:58.000000 {"type":"join","timestamp":"1328981218.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"davida","nickname":"davida","name":"davida","username":null},"content":"davida joined #indiewebcamp"}
2012-02-11 17:35:02.000000 {"type":"join","timestamp":"1328981702.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #indiewebcamp"}
2012-02-11 20:30:41.000000 {"type":"join","timestamp":"1328992241.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"wajiii","nickname":"wajiii","name":"wajiii","username":null},"content":"wajiii joined #indiewebcamp"}
2012-02-11 21:34:52.000000 {"type":"join","timestamp":"1328996092.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"shaners","nickname":"shaners","name":"shaners","username":null},"content":"shaners joined #indiewebcamp"}
2012-02-11 21:38:30.000000 {"type":"join","timestamp":"1328996310.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"davida","nickname":"davida","name":"davida","username":null},"content":"davida joined #indiewebcamp"}
2012-02-11 23:36:08.000000 {"type":"message","timestamp":"1329003368.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/newusers\u000314]]\u00034 create2\u000310 \u000302\u0003 \u00035*\u0003 \u00030324.22.120.158\u0003 \u00035*\u0003  \u000310created new account User:Misuba\u0003"}
