2011-08-04 16:47:28.000000 {"type":"message","timestamp":"1312476448.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307hcard-examples-in-wild\u000314]]\u00034 \u000310 \u000302https:\/\/microformats.org\/wiki\/index.php?title=hcard-examples-in-wild&diff=44338&oldid=44335&rcid=57477\u0003 \u00035*\u0003 \u000303Interdixit2\u0003 \u00035*\u0003 (+137) \u000310\/* new and uncategorized examples *\/ \u0003"}
2011-08-04 17:17:50.000000 {"type":"join","timestamp":"1312478270.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"chiui_","nickname":"chiui_","name":"chiui_","username":null},"content":"chiui_ joined #microformats"}
2011-08-04 17:33:38.000000 {"type":"join","timestamp":"1312479218.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"mwunsch","nickname":"mwunsch","name":"mwunsch","username":null},"content":"mwunsch joined #microformats"}
2011-08-04 17:37:32.000000 {"type":"join","timestamp":"1312479452.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"patcito","nickname":"patcito","name":"patcito","username":null},"content":"patcito joined #microformats"}
2011-08-04 18:29:45.000000 {"type":"join","timestamp":"1312482585.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"patcito_","nickname":"patcito_","name":"patcito_","username":null},"content":"patcito_ joined #microformats"}
2011-08-04 18:54:49.000000 {"type":"join","timestamp":"1312484089.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #microformats"}
2011-08-04 19:17:38.000000 {"type":"join","timestamp":"1312485458.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
2011-08-04 19:20:55.000000 {"type":"join","timestamp":"1312485655.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"abki__","nickname":"abki__","name":"abki__","username":null},"content":"abki__ joined #microformats"}
2011-08-04 19:54:01.000000 {"type":"message","timestamp":"1312487641.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307User:Jabz\u000314]]\u00034 \u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=User:Jabz&diff=44339&oldid=34398&rcid=57478\u0003 \u00035*\u0003 \u000303Jabz\u0003 \u00035*\u0003 (-56) \u000310\u0003"}
2011-08-04 19:58:28.000000 {"type":"join","timestamp":"1312487908.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
2011-08-04 20:09:32.000000 {"type":"join","timestamp":"1312488572.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #microformats"}
2011-08-04 20:23:41.000000 {"type":"message","timestamp":"1312489421.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307microformats-2\u000314]]\u00034 \u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=microformats-2&diff=44340&oldid=44269&rcid=57479\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (+2229) \u000310added summary section and about this brainstorm summary, simple examples with sample parsed JSON brainstorm\u0003"}
2011-08-04 20:25:19.000000 {"type":"message","timestamp":"1312489519.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"greetings micro formatters, I've just added some JSON examples (based on simplest portions of previous jcard work) of what parsed microformats 2.0 objects could be generically output as - please take a look, feedback welcome: http:\/\/microformats.org\/wiki\/microformats-2#simple_microformats_2_examples"}
2011-08-04 20:26:46.000000 {"type":"message","timestamp":"1312489606.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307microformats-2\u000314]]\u00034 M\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=microformats-2&diff=44341&oldid=44340&rcid=57480\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (-2) \u000310fmt\u0003"}
2011-08-04 22:34:13.000000 {"type":"join","timestamp":"1312497253.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
