2015-11-12 07:04:42.605000 {"type":"join","timestamp":"1447311882.605000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"tessierashpool_","nickname":"tessierashpool_","name":"tessierashpool_","username":null},"content":"tessierashpool_ joined #social"}
2015-11-12 07:05:02.084000 {"type":"join","timestamp":"1447311902.084000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Arnaud","nickname":"Arnaud","name":"Arnaud","username":null},"content":"Arnaud joined #social"}
2015-11-12 07:08:20.225000 {"type":"join","timestamp":"1447312100.225000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Arnaud","nickname":"Arnaud","name":"Arnaud","username":null},"content":"Arnaud joined #social"}
2015-11-12 08:26:01.088000 {"type":"join","timestamp":"1447316761.088000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2015-11-12 08:50:30.161000 {"type":"join","timestamp":"1447318230.161000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2015-11-12 09:20:01.665000 {"type":"message","timestamp":"1447320001.665000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"Tantekelik made 1 edit to [[Socialwg\/2015-12-01]] https:\/\/www.w3.org\/wiki\/index.php?diff=86798&oldid=86759"}
2015-11-12 09:27:04.199000 {"type":"join","timestamp":"1447320424.199000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"melvster","nickname":"melvster","name":"melvster","username":null},"content":"melvster joined #social"}
2015-11-12 10:27:02.138000 {"type":"join","timestamp":"1447324022.138000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"melvster","nickname":"melvster","name":"melvster","username":null},"content":"melvster joined #social"}
2015-11-12 10:28:30.125000 {"type":"join","timestamp":"1447324110.125000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"the_frey","nickname":"the_frey","name":"the_frey","username":null},"content":"the_frey joined #social"}
2015-11-12 11:11:23.058000 {"type":"join","timestamp":"1447326683.058000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #social"}
2015-11-12 11:12:38.494000 {"type":"join","timestamp":"1447326758.494000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2015-11-12 11:33:15.179000 {"type":"join","timestamp":"1447327995.179000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"danbri1","nickname":"danbri1","name":"danbri1","username":null},"content":"danbri1 joined #social"}
2015-11-12 12:43:20.223000 {"type":"join","timestamp":"1447332200.223000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2015-11-12 12:44:43.255000 {"type":"join","timestamp":"1447332283.255000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"melvster","nickname":"melvster","name":"melvster","username":null},"content":"melvster joined #social"}
2015-11-12 13:00:51.393000 {"type":"join","timestamp":"1447333251.393000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"shepazu","nickname":"shepazu","name":"shepazu","username":null},"content":"shepazu joined #social"}
2015-11-12 16:25:58.429000 {"type":"join","timestamp":"1447345558.429000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell","nickname":"jasnell","name":"jasnell","username":null},"content":"jasnell joined #social"}
2015-11-12 16:27:23.424000 {"type":"join","timestamp":"1447345643.424000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jasnell_","nickname":"jasnell_","name":"jasnell_","username":null},"content":"jasnell_ joined #social"}
2015-11-12 16:36:24.090000 {"type":"join","timestamp":"1447346184.090000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"jaywink","nickname":"jaywink","name":"jaywink","username":null},"content":"jaywink joined #social"}
2015-11-12 16:42:49.299000 {"type":"join","timestamp":"1447346569.299000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"shevski","nickname":"shevski","name":"shevski","username":null},"content":"shevski joined #social"}
2015-11-12 16:44:56.268000 {"type":"join","timestamp":"1447346696.268000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2015-11-12 16:59:34.391000 {"type":"join","timestamp":"1447347574.391000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"bblfish","nickname":"bblfish","name":"bblfish","username":null},"content":"bblfish joined #social"}
2015-11-12 17:07:42.086000 {"type":"join","timestamp":"1447348062.086000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"shevski","nickname":"shevski","name":"shevski","username":null},"content":"shevski joined #social"}
2015-11-12 17:18:06.079000 {"type":"join","timestamp":"1447348686.079000","network":"irc","server":"w3c","channel":{"id":"#social","name":"#social"},"author":{"uid":"kevinmarks","nickname":"kevinmarks","name":"kevinmarks","username":null},"content":"kevinmarks joined #social"}
