2012-06-29 09:13:30.000000 {"type":"join","timestamp":"1340961210.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty__","nickname":"McNulty__","name":"McNulty__","username":null},"content":"McNulty__ joined #microformats"}
2012-06-29 09:34:06.000000 {"type":"join","timestamp":"1340962446.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"adactio","nickname":"adactio","name":"adactio","username":null},"content":"adactio joined #microformats"}
2012-06-29 09:59:04.000000 {"type":"join","timestamp":"1340963944.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"nonge_","nickname":"nonge_","name":"nonge_","username":null},"content":"nonge_ joined #microformats"}
2012-06-29 09:59:33.000000 {"type":"join","timestamp":"1340963973.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Chief|AFK","nickname":"Chief|AFK","name":"Chief|AFK","username":null},"content":"Chief|AFK joined #microformats"}
2012-06-29 09:59:33.000000 {"type":"join","timestamp":"1340963973.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Chief|AFK","nickname":"Chief|AFK","name":"Chief|AFK","username":null},"content":"Chief|AFK joined #microformats"}
2012-06-29 10:45:08.000000 {"type":"join","timestamp":"1340966708.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #microformats"}
2012-06-29 11:01:40.000000 {"type":"join","timestamp":"1340967700.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 11:02:35.000000 {"type":"join","timestamp":"1340967755.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 11:03:11.000000 {"type":"join","timestamp":"1340967791.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 11:03:48.000000 {"type":"join","timestamp":"1340967828.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 11:04:25.000000 {"type":"join","timestamp":"1340967865.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty__","nickname":"McNulty__","name":"McNulty__","username":null},"content":"McNulty__ joined #microformats"}
2012-06-29 11:05:01.000000 {"type":"join","timestamp":"1340967901.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 11:05:44.000000 {"type":"join","timestamp":"1340967944.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
