2015-09-09 16:46:07.267000 {"type":"message","timestamp":"1441817167.267000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@ericwbailey] I just totally remembered that `rel=\"crush\"` is a thing: http:\/\/microformats.org\/wiki\/rel-crush (http:\/\/twtr.io\/13fEUDRaMb4)"}
2015-09-09 16:46:20.566000 {"type":"message","timestamp":"1441817180.566000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"tantek: see: http:\/\/csswizardry.com\/2015\/08\/bemit-taking-the-bem-naming-convention-a-step-further\/#namespaces"}
2015-09-09 16:46:39.404000 {"type":"message","timestamp":"1441817199.404000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"where \"u-\" is used for \"utilities\" in a BEM notation"}
2015-09-09 16:47:17.342000 {"type":"message","timestamp":"1441817237.342000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"also the link aaronpk posted"}
2015-09-09 16:47:18.542000 {"type":"message","timestamp":"1441817238.542000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"might be worth pointing them to mf2 and saying hey - mf2 has been using u- (and h- p- dt- e-) since 2009"}
2015-09-09 16:47:51.621000 {"type":"message","timestamp":"1441817271.621000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"\"we used it first\" does not make for any reasonable discussion"}
2015-09-09 16:49:01.842000 {"type":"message","timestamp":"1441817341.842000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"more like FYI - has been in existing use since 2009 as a data point"}
2015-09-09 16:49:31.806000 {"type":"message","timestamp":"1441817371.806000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","name":"aaronpk","username":null},"content":"eh it's not like that's gonna get them to stop"}
2015-09-09 16:50:04.241000 {"type":"message","timestamp":"1441817404.241000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"aaronpk: yeah that's what I meant. They might blame it on mf2 being not good since it uses classes"}
2015-09-09 16:50:09.752000 {"type":"message","timestamp":"1441817409.752000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","name":"aaronpk","username":null},"content":"yeah pretty much"}
2015-09-09 16:55:07.855000 {"type":"join","timestamp":"1441817707.855000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2015-09-09 17:01:30.464000 {"type":"message","timestamp":"1441818090.464000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@AllTheTwits] oh well, there goes my Microformats and WP t-shirts. (http:\/\/twtr.io\/13fFrDt_7vj)"}
2015-09-09 17:10:23.202000 {"type":"message","timestamp":"1441818623.202000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"lol"}
2015-09-09 17:13:54.871000 {"type":"join","timestamp":"1441818834.871000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"glennjones","nickname":"glennjones","name":"glennjones","username":null},"content":"glennjones joined #microformats"}
2015-09-09 17:14:26.875000 {"type":"join","timestamp":"1441818866.875000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"adactio","nickname":"adactio","name":"adactio","username":null},"content":"adactio joined #microformats"}
2015-09-09 17:19:52.791000 {"type":"join","timestamp":"1441819192.791000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2015-09-09 17:30:16.413000 {"type":"join","timestamp":"1441819816.413000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2015-09-09 17:34:44.084000 {"type":"join","timestamp":"1441820084.084000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu1","nickname":"KartikPrabhu1","name":"KartikPrabhu1","username":null},"content":"KartikPrabhu1 joined #microformats"}
2015-09-09 17:36:51.537000 {"type":"join","timestamp":"1441820211.537000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","name":"gRegorLove","username":null},"content":"gRegorLove joined #microformats"}
2015-09-09 18:38:09.146000 {"type":"join","timestamp":"1441823889.146000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2015-09-09 18:54:43.234000 {"type":"join","timestamp":"1441824883.234000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"frontwards","nickname":"frontwards","name":"frontwards","username":null},"content":"frontwards joined #microformats"}
2015-09-09 19:07:53.679000 {"type":"join","timestamp":"1441825673.679000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Erkan_Yilmaz","nickname":"Erkan_Yilmaz","name":"Erkan_Yilmaz","username":null},"content":"Erkan_Yilmaz joined #microformats"}
2015-09-09 19:10:54.179000 {"type":"join","timestamp":"1441825854.179000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2015-09-09 19:44:07.741000 {"type":"join","timestamp":"1441827847.741000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2015-09-09 20:04:04.480000 {"type":"join","timestamp":"1441829044.480000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"kez","nickname":"kez","name":"kez","username":null},"content":"kez joined #microformats"}
2015-09-09 20:09:20.002000 {"type":"join","timestamp":"1441829360.002000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Erkan_Yilmaz","nickname":"Erkan_Yilmaz","name":"Erkan_Yilmaz","username":null},"content":"Erkan_Yilmaz joined #microformats"}
2015-09-09 20:21:42.821000 {"type":"join","timestamp":"1441830102.821000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"frontwards","nickname":"frontwards","name":"frontwards","username":null},"content":"frontwards joined #microformats"}
2015-09-09 20:41:16.308000 {"type":"join","timestamp":"1441831276.308000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"behind_you","nickname":"behind_you","name":"behind_you","username":null},"content":"behind_you joined #microformats"}
2015-09-09 20:49:43.279000 {"type":"join","timestamp":"1441831783.279000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"iwaim","nickname":"iwaim","name":"iwaim","username":null},"content":"iwaim joined #microformats"}
2015-09-09 20:49:45.326000 {"type":"join","timestamp":"1441831785.326000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2015-09-09 21:06:45.484000 {"type":"join","timestamp":"1441832805.484000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2015-09-09 22:01:34.277000 {"type":"join","timestamp":"1441836094.277000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2015-09-09 22:42:59.923000 {"type":"join","timestamp":"1441838579.923000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2015-09-09 22:43:25.320000 {"type":"join","timestamp":"1441838605.320000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2015-09-09 22:45:11.951000 {"type":"join","timestamp":"1441838711.951000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2015-09-09 23:57:15.170000 {"type":"join","timestamp":"1441843035.170000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
