2014-03-15 17:48:26.000000 {"type":"join","timestamp":"1394905706.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-03-15 17:52:14.000000 {"type":"join","timestamp":"1394905934.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"krendil","nickname":"krendil","name":"krendil","username":null},"content":"krendil joined #microformats"}
2014-03-15 18:18:45.000000 {"type":"join","timestamp":"1394907525.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"JonathanNeal","nickname":"JonathanNeal","name":"JonathanNeal","username":null},"content":"JonathanNeal joined #microformats"}
2014-03-15 18:19:20.000000 {"type":"join","timestamp":"1394907560.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Phae","nickname":"Phae","name":"Phae","username":null},"content":"Phae joined #microformats"}
2014-03-15 18:27:19.000000 {"type":"join","timestamp":"1394908039.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"twisted`","nickname":"twisted`","name":"twisted`","username":null},"content":"twisted` joined #microformats"}
2014-03-15 18:32:11.000000 {"type":"join","timestamp":"1394908331.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"joeysim","nickname":"joeysim","name":"joeysim","username":null},"content":"joeysim joined #microformats"}
2014-03-15 18:55:20.000000 {"type":"join","timestamp":"1394909720.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-03-15 20:16:46.000000 {"type":"join","timestamp":"1394914606.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-03-15 20:17:45.000000 {"type":"join","timestamp":"1394914665.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"rknLA","nickname":"rknLA","name":"rknLA","username":null},"content":"rknLA joined #microformats"}
2014-03-15 20:17:45.000000 {"type":"join","timestamp":"1394914665.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"rknLA","nickname":"rknLA","name":"rknLA","username":null},"content":"rknLA joined #microformats"}
2014-03-15 21:05:27.000000 {"type":"join","timestamp":"1394917527.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KevinMarks","nickname":"KevinMarks","name":"KevinMarks","username":null},"content":"KevinMarks joined #microformats"}
2014-03-15 21:09:48.000000 {"type":"join","timestamp":"1394917788.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Garbee","nickname":"Garbee","name":"Garbee","username":null},"content":"Garbee joined #microformats"}
2014-03-15 21:49:48.000000 {"type":"join","timestamp":"1394920188.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-03-15 23:05:51.000000 {"type":"message","timestamp":"1394924751.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@swooley99] #LS566 Microformats- hCard and hCalendar. They're new to me. http:\/\/sindeesblog.wordpress.com\/2014\/03\/15\/microformats-hcalendar-and-hcard\/ (http:\/\/twtr.io\/j9FAs_MRYo)"}
2014-03-15 23:08:39.000000 {"type":"join","timestamp":"1394924919.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
